Date,ID,Date,FCO2 µmol m-2 s-1,FCO2 uncertainty µmol m-2 s-1,PAR µmol m-2 s-1,PAR StD µmol m-2 s-1,AirT,Timestamp_rounded,AirRH,PAR,SW_in,SW_out,LW_in,LW_out,NR01_T,Rain_Tot,WS_ms_S_WVT,WindDir_D1_WVT
2018-03-14 18:51:35,AST1P2,14-Mar-2018 18:51:35,-6.7109,1.1383,942.2429,30.675,9.03,2018-03-14 19:00:00,62.4,1201.0,532.4238,113.3814,294.0683,364.8231,9.8888,0.0,6.191,272.0
2018-11-29 14:21:23,AST1P2,29-Nov-2018 14:21:23,-5.0156,0.7061,432.4382,31.2888,15.67,2018-11-29 14:30:00,52.3,934.0,423.9497,74.31904,336.0017,406.4688,16.23883,0.0,6.586,315.4
2018-03-14 16:56:04,AST1P2,14-Mar-2018 16:56:04,-5.3319,0.72665,362.2306,55.0721,8.08,2018-03-14 17:00:00,60.65,667.0,294.391,62.7829,324.7211,354.1423,8.6187,0.0,5.383,269.2
2018-03-14 16:51:19,AST1P2,14-Mar-2018 16:51:19,1.8664,0.29977,2.5437,6.2309,8.08,2018-03-14 17:00:00,60.65,667.0,294.391,62.7829,324.7211,354.1423,8.6187,0.0,5.383,269.2
2018-03-14 16:44:59,AST1P2,14-Mar-2018 16:44:59,2.2462,0.32965,5.2329,12.5505,7.724,2018-03-14 16:30:00,66.98,678.7,309.1796,66.5788,331.2846,352.4616,8.0083,0.0,4.538,274.0
2018-03-14 16:34:07,AST1P2,14-Mar-2018 16:34:07,-6.1655,0.83586,449.8629,19.0061,7.724,2018-03-14 16:30:00,66.98,678.7,309.1796,66.5788,331.2846,352.4616,8.0083,0.0,4.538,274.0
2018-03-14 16:29:23,AST1P2,14-Mar-2018 16:29:23,-4.8697,0.72819,513.5839,23.9918,7.724,2018-03-14 16:30:00,66.98,678.7,309.1796,66.5788,331.2846,352.4616,8.0083,0.0,4.538,274.0
2018-03-14 16:23:01,AST1P2,14-Mar-2018 16:23:01,-7.009,0.95074,745.32,69.8728,7.724,2018-03-14 16:30:00,66.98,678.7,309.1796,66.5788,331.2846,352.4616,8.0083,0.0,4.538,274.0
2018-03-14 16:18:08,AST1P2,14-Mar-2018 16:18:08,-7.0067,1.1589,599.2721,16.7043,7.724,2018-03-14 16:30:00,66.98,678.7,309.1796,66.5788,331.2846,352.4616,8.0083,0.0,4.538,274.0
2019-01-18 15:47:58,AST1P2,18-Jan-2019 15:47:58,3.4062,0.4849,7.6313,12.1143,,2019-01-18 16:00:00,,,,,,,,,,
2019-01-18 15:39:11,AST1P2,18-Jan-2019 15:39:11,-8.7196,1.2467,567.2839,47.486,,2019-01-18 15:30:00,,,,,,,,,,
2019-01-18 15:34:20,AST1P2,18-Jan-2019 15:34:20,-8.9954,1.2298,608.2116,56.4239,,2019-01-18 15:30:00,,,,,,,,,,
2018-03-14 18:46:20,AST1P2,14-Mar-2018 18:46:20,-6.0072,1.0423,953.3991,42.677,9.03,2018-03-14 19:00:00,62.4,1201.0,532.4238,113.3814,294.0683,364.8231,9.8888,0.0,6.191,272.0
2018-07-16 16:40:05,AST2P1,16-Jul-2018 16:40:05,0.27771,0.078678,8.1655,12.0001,0.166,2018-07-16 16:30:00,72.95,338.9,153.4424,46.70762,289.2889,315.0609,0.503211,0.0,2.899,294.4
2018-07-16 16:33:51,AST2P1,16-Jul-2018 16:33:51,0.23156,0.051648,12.8714,20.9487,0.166,2018-07-16 16:30:00,72.95,338.9,153.4424,46.70762,289.2889,315.0609,0.503211,0.0,2.899,294.4
2018-07-16 16:26:43,AST2P1,16-Jul-2018 16:26:43,-0.2702,0.083289,128.6574,51.8301,0.166,2018-07-16 16:30:00,72.95,338.9,153.4424,46.70762,289.2889,315.0609,0.503211,0.0,2.899,294.4
2018-07-16 16:47:50,AST2P1,16-Jul-2018 16:47:50,-0.73069,0.11916,252.5499,49.2856,0.287,2018-07-16 17:00:00,71.84,366.3,159.6776,52.76842,243.8527,311.9936,0.566419,0.0,3.127,296.3
2019-01-17 16:48:17,AST2P1,17-Jan-2019 16:48:17,-7.5608,1.0686,539.2032,34.9121,13.57,2019-01-17 17:00:00,55.97,1134.0,525.1799,91.74158,343.7193,403.0904,14.65963,0.0,5.754,265.8
2019-01-17 17:23:59,AST2P1,17-Jan-2019 17:23:59,3.0669,0.42912,4.8331,11.8387,12.25,2019-01-17 17:30:00,62.15,407.9,176.7457,30.76234,350.2423,382.8285,12.98407,0.0,4.509,195.9
2018-11-29 16:15:47,AST2P1,29-Nov-2018 16:15:47,-6.2902,0.93172,439.3526,61.3479,14.65,2018-11-29 16:30:00,57.32,756.5,327.442,57.10345,349.5798,398.8543,15.15617,0.0,3.966,286.9
2018-11-29 16:21:59,AST2P1,29-Nov-2018 16:21:59,-6.9835,1.0102,507.4789,20.1327,14.65,2018-11-29 16:30:00,57.32,756.5,327.442,57.10345,349.5798,398.8543,15.15617,0.0,3.966,286.9
2018-11-29 16:30:22,AST2P1,29-Nov-2018 16:30:22,3.2986,0.53034,2.5437,6.2309,14.65,2018-11-29 16:30:00,57.32,756.5,327.442,57.10345,349.5798,398.8543,15.15617,0.0,3.966,286.9
2018-11-29 16:35:08,AST2P1,29-Nov-2018 16:35:08,2.8132,0.4192,7.822,14.4894,14.65,2018-11-29 16:30:00,57.32,756.5,327.442,57.10345,349.5798,398.8543,15.15617,0.0,3.966,286.9
2019-01-17 16:33:41,AST2P1,17-Jan-2019 16:33:41,-11.0013,1.5028,1047.6197,123.2669,13.05,2019-01-17 16:30:00,56.58,1543.0,719.5739,124.3503,324.0371,408.7719,14.59643,0.0,4.363,268.3
2018-07-16 16:21:21,AST2P1,16-Jul-2018 16:21:21,-0.97577,0.27654,198.4128,39.115,0.166,2018-07-16 16:30:00,72.95,338.9,153.4424,46.70762,289.2889,315.0609,0.503211,0.0,2.899,294.4
2019-01-17 17:31:11,AST2P1,17-Jan-2019 17:31:11,2.8667,0.40541,1.5263,3.7386,12.25,2019-01-17 17:30:00,62.15,407.9,176.7457,30.76234,350.2423,382.8285,12.98407,0.0,4.509,195.9
2018-07-16 16:52:00,AST2P1,16-Jul-2018 16:52:00,-0.47416,0.20177,234.4706,33.9907,0.287,2018-07-16 17:00:00,71.84,366.3,159.6776,52.76842,243.8527,311.9936,0.566419,0.0,3.127,296.3
2018-05-17 16:51:29,AST2P1,17-May-2018 16:51:29,-0.40176,0.07626,163.3817,24.4937,4.272,2018-05-17 17:00:00,88.9,198.8,126.2281,24.682,347.2378,325.8933,4.3567,0.0,0.649,0.0
2019-01-17 16:40:58,AST2P1,17-Jan-2019 16:40:58,-8.547,1.185,544.0,55.2049,13.05,2019-01-17 16:30:00,56.58,1543.0,719.5739,124.3503,324.0371,408.7719,14.59643,0.0,4.363,268.3
2018-05-17 16:38:06,AST2P1,17-May-2018 16:38:06,-0.83122,0.24872,23.4025,19.8706,4.43,2018-05-17 16:30:00,87.0,207.2,134.1113,24.1068,350.7447,329.3429,5.0078,0.0,0.898,35.67
2018-03-07 18:12:59,AST2P1,07-Mar-2018 18:12:59,-5.0596,0.75287,963.4469,30.2706,13.91,2018-03-07 18:00:00,45.56,1587.0,695.3019,146.4005,292.8372,400.4524,15.2333,0.0,4.866,262.1
2018-03-07 18:17:58,AST2P1,07-Mar-2018 18:17:58,-4.9354,0.78979,859.5854,23.9724,13.9,2018-03-07 18:30:00,45.43,1514.0,663.5059,139.9579,293.3074,397.7724,15.1535,0.0,5.188,263.0
2018-03-07 18:23:22,AST2P1,07-Mar-2018 18:23:22,-5.1865,0.82165,961.0303,15.6146,13.9,2018-03-07 18:30:00,45.43,1514.0,663.5059,139.9579,293.3074,397.7724,15.1535,0.0,5.188,263.0
2018-03-07 18:29:02,AST2P1,07-Mar-2018 18:29:02,-4.8304,0.7113,933.1025,26.1164,13.9,2018-03-07 18:30:00,45.43,1514.0,663.5059,139.9579,293.3074,397.7724,15.1535,0.0,5.188,263.0
2018-03-07 18:33:59,AST2P1,07-Mar-2018 18:33:59,-4.8412,0.72595,837.3403,25.3158,13.9,2018-03-07 18:30:00,45.43,1514.0,663.5059,139.9579,293.3074,397.7724,15.1535,0.0,5.188,263.0
2018-03-07 18:41:23,AST2P1,07-Mar-2018 18:41:23,3.1502,0.52016,2.5437,6.2309,13.9,2018-03-07 18:30:00,45.43,1514.0,663.5059,139.9579,293.3074,397.7724,15.1535,0.0,5.188,263.0
2018-03-07 19:35:58,AST2P1,07-Mar-2018 19:35:58,-0.039437,0.026064,674.749,120.7293,13.74,2018-03-07 19:30:00,43.25,1296.0,570.6882,121.4666,293.259,389.8107,14.8123,0.0,5.514,268.5
